playerAlias,Lewis
gender,M
age,20
education,Superior Incompleto
destro,D
totalPlays,60
totalCorrect,53
successRate,1
playId,Lewis,8112016,13452
stageID,grupo1-v3
resultInt,optionChosenInt,correct, time
0,2,False,5,304111
2,0,False,6,902982
0,1,False,0,4167888
0,2,False,0,9512281
2,2,True,2,151328
0,0,True,3,784766
0,2,False,2,667786
2,2,True,17,7077
0,0,True,0,3836601
0,0,True,0,5169332
2,2,True,0,6997051
0,0,True,0,416872
0,0,True,0,2996459
2,2,True,0,31688
0,0,True,0,333483
0,0,True,0,3674519
2,2,True,0,316452
0,0,True,0,3163021
0,0,True,1,4174
2,2,True,0,367007
0,0,True,0,8506479
0,0,True,3,317936
2,2,True,0,783807
0,0,True,0,483614
0,0,True,0,8003538
2,2,True,0,333035
0,0,True,1,60085
0,0,True,0,2835331
2,2,True,0,3500352
0,0,True,0,3168809
0,0,True,1,700603
2,2,True,0,6834421
0,0,True,2,334117
0,0,True,0,41682
2,2,True,9,771397
0,0,True,0,483588
0,2,False,1,533492
2,2,True,2,050811
0,0,True,0,6172469
0,0,True,0,3338141
2,2,True,0,383512
0,0,True,0,8669128
0,2,False,1,850563
2,2,True,2,05094
0,0,True,0,483645
0,0,True,0,4832299
2,2,True,0,400265
0,0,True,0,9830921
0,0,True,0,8503881
2,2,True,0,917208
0,0,True,0,4165668
0,0,True,0,4503629
2,2,True,0,4168448
0,0,True,0,3668611
0,0,True,0,3667691
2,2,True,2,301039
0,0,True,4,736016
0,0,True,2,000878
2,2,True,2,401122
0,0,True,1,617452
