playerAlias,hugo
gender,M
age,30
education,Superior Completo
destro,D
totalPlays,40
totalCorrect,27
successRate,1
playId,hugo,8112016,134732
stageID,grupo2-v2
resultInt,optionChosenInt,correct, time
2,2,True,5,483432
2,0,False,8,497413
2,0,False,3,832852
1,0,False,5,399379
0,1,False,2,217392
2,2,True,4,63318
2,2,True,6,016405
1,2,False,2,682936
0,0,True,2,984251
2,0,False,10,38347
2,0,False,10,53178
1,1,True,3,498716
0,1,False,4,400064
2,2,True,5,200164
2,0,False,8,10087
1,2,False,6,666508
0,2,False,3,550253
2,0,False,8,450813
2,2,True,14,11718
1,0,False,16,36669
0,0,True,3,299479
2,2,True,3,483276
2,2,True,3,232977
1,1,True,6,467422
0,0,True,3,450808
2,2,True,3,816674
2,2,True,3,132322
1,1,True,4,115582
0,0,True,3,249864
2,2,True,5,599291
2,2,True,2,317366
1,1,True,25,66644
0,0,True,2,000267
2,2,True,2,048303
2,2,True,6,366634
1,1,True,2,566461
0,0,True,1,516928
2,2,True,2,000415
2,2,True,1,883375
1,1,True,0,832947
