playerAlias,Brenda
gender,F
age,21
education,Superior Incompleto
destro,D
totalPlays,40
totalCorrect,18
successRate,0,6
playId,Brenda,8112016,13524
stageID,grupo1-v2
resultInt,optionChosenInt,correct, time
2,2,True,2,623126
0,1,False,2,617138
0,0,True,0,96594
1,1,True,0,565239
0,1,False,2,367539
2,2,True,0,783103
2,1,False,1,567316
1,0,False,0,3830469
0,2,False,0,8324349
2,1,False,2,166493
2,2,True,0,6659369
1,0,False,1,449771
0,1,False,0,8663182
2,2,True,1,100733
2,2,True,1,233412
1,0,False,1,199534
0,1,False,1,383296
2,1,False,0,6165361
2,2,True,0,6828351
1,0,False,2,299878
0,2,False,1,14981
2,1,False,0,882916
2,2,True,1,866775
1,0,False,2,183019
0,0,True,0,4502711
2,1,False,1,583975
2,2,True,0,5673451
1,0,False,0,9837151
0,0,True,1,098317
2,0,False,2,85038
2,2,True,0,649986
1,2,False,2,700391
0,0,True,2,417041
2,0,False,3,650455
2,2,True,2,183802
1,2,False,1,53301
0,0,True,1,750861
2,1,False,1,166367
2,2,True,0,6499522
1,1,True,1,233099
