playerAlias,
gender,M
age,
education,Superior Completo
destro,D
totalPlays,82
totalCorrect,80
successRate,1
playId,,8112016,135337
stageID,nivel4-v1
resultInt,optionChosenInt,correct, time
0,1,False,2,004774
2,1,False,1,201674
1,1,True,3,30011
0,0,True,7,416563
2,2,True,0,816185
1,1,True,0,4667101
0,0,True,0,6335821
2,2,True,0,349709
1,1,True,0,06695199
0,0,True,0,399776
2,2,True,0,5005581
1,1,True,0,5832798
0,0,True,1,617095
2,2,True,0,5494568
1,1,True,0,2833931
0,0,True,0,4166939
2,2,True,0,2998641
1,1,True,7,049911
0,0,True,29,31664
2,2,True,0,3340368
1,1,True,0,3164301
0,0,True,0,433723
2,2,True,0,4332299
1,1,True,0,1498649
0,0,True,0,533855
2,2,True,0,3320642
1,1,True,0,4167061
0,0,True,0,516397
2,2,True,0,267447
1,1,True,0,2828341
0,0,True,0,965471
2,2,True,0,2827828
1,1,True,0,3828702
0,0,True,1,282379
2,2,True,0,2668509
1,1,True,0,266767
0,0,True,0,4498992
2,2,True,0,283129
1,1,True,0,3500431
0,0,True,0,8995581
2,2,True,0,2674079
1,1,True,0,2835529
0,0,True,0,4000721
2,2,True,0,2671211
1,1,True,0,283649
0,0,True,0,749681
2,2,True,0,01668
1,1,True,0,4169919
0,0,True,0,583231
2,2,True,0,700114
1,1,True,0,09984708
0,0,True,0,365675
2,2,True,0,2169721
1,1,True,0,18325
0,0,True,0,1000221
2,2,True,0,199662
1,1,True,0,383498
0,0,True,0,0828321
2,2,True,0,04951906
1,1,True,0,3004711
0,0,True,0,3333709
2,2,True,0
1,1,True,0,04988599
0,0,True,0,7003951
2,2,True,0,2495492
1,1,True,0,217149
0,0,True,0,166806
2,2,True,0,09982514
1,1,True,0,4488719
0,0,True,0,5163081
2,2,True,0,5168438
1,1,True,0,6000512
0,0,True,0,2994249
2,2,True,7,250119
1,1,True,0,283571
0,0,True,0,3660822
2,2,True,0,182009
1,1,True,0,299715
0,0,True,0,3666699
2,2,True,0,08267689
1,1,True,0,1508009
0,0,True,0,7173269
