playerAlias,
gender,F
age,19
education,Fundamental Completo
destro,C
totalPlays,60
totalCorrect,55
successRate,1
playId,,8112016,13540
stageID,grupo1-v3
resultInt,optionChosenInt,correct, time
0,2,False,2,099824
2,0,False,0,766459
0,1,False,0,817091
0,2,False,0,6327279
2,0,False,1,73262
0,0,True,1,899982
0,0,True,0,7663338
2,2,True,3,166418
0,0,True,2,082788
0,0,True,2,13308
2,2,True,3,166979
0,0,True,4,86729
0,0,True,3,749598
2,2,True,0,699903
0,0,True,1,950266
0,0,True,3,233548
2,2,True,3,249212
0,0,True,4,466504
0,0,True,4,499081
2,2,True,2,683748
0,0,True,3,299699
0,0,True,3,31649
2,2,True,16,30035
0,0,True,18,88258
0,0,True,48,8819
2,2,True,8,049875
0,0,True,26,89948
0,0,True,0,41693
2,2,True,2,84931
0,0,True,3,900158
0,0,True,0,7338529
2,2,True,4,816206
0,0,True,3,115821
0,0,True,2,916114
2,2,True,1,399849
0,0,True,3,948889
0,0,True,0,633816
2,2,True,2,966736
0,0,True,2,98267
0,0,True,6,966095
2,2,True,0,615999
0,0,True,2,532716
0,0,True,4,083245
2,2,True,3,616107
0,0,True,2,399669
0,0,True,0,849298
2,2,True,2,715848
0,0,True,3,717621
0,0,True,0,4163082
2,2,True,2,36617
0,0,True,30,7496
0,0,True,0,3166671
2,2,True,1,716292
0,0,True,2,450005
0,0,True,0,165952
2,2,True,3,901047
0,0,True,2,333155
0,0,True,0,5170338
2,2,True,7,366477
0,0,True,4,766878
