playerAlias,Internauta P﹑﹑os-brasileiro﹒
gender,M
age,24
education,Superior Incompleto
destro,D
totalPlays,40
totalCorrect,29
successRate,0,9
playId,Internauta P﹑﹑os-brasileiro﹒,8112016,13950
stageID,grupo2-v2
resultInt,optionChosenInt,correct, time
2,1,False,99,05903
2,1,False,0,1834898
2,1,False,0,4996629
1,1,True,0,316788
0,1,False,0,4667969
2,1,False,0,2328551
2,1,False,0,3827522
1,1,True,0,4493239
0,0,True,10,5658
2,2,True,0,5498469
2,1,False,2,349224
1,2,False,0,465914
0,0,True,1,46614
2,0,False,0,3834472
2,2,True,7,182513
1,1,True,2,300416
0,0,True,2,882992
2,2,True,0,4662881
2,2,True,0,366241
1,2,False,1,89876
0,0,True,0,467006
2,2,True,2,900397
2,2,True,0,9999912
1,1,True,0,9509099
0,0,True,2,600318
2,2,True,3,949852
2,2,True,2,482956
1,1,True,4,182494
0,0,True,2,532841
2,2,True,4,799305
2,2,True,0,9163499
1,1,True,0,650347
0,0,True,2,765973
2,0,False,1,916396
2,2,True,3,66575
1,1,True,0,333509
0,0,True,0,2000611
2,2,True,0,4501882
2,2,True,0,28302
1,1,True,2,33378
