X1,move,correct,movementTime,soccerTeam,game,phase,playerAlias,totalCorrect,groupCode,sequExecuted,optionChosen
0,1,TRUE,1.963821,ELD,AQ,0,P55972,9,ELD2018,120120120,1
1,2,TRUE,1.716064,ELD,AQ,0,P55972,9,ELD2018,120120120,2
2,3,TRUE,0.733231,ELD,AQ,0,P55972,9,ELD2018,120120120,0
3,4,TRUE,0.749886,ELD,AQ,0,P55972,9,ELD2018,120120120,1
4,5,TRUE,0.699204,ELD,AQ,0,P55972,9,ELD2018,120120120,2
5,6,TRUE,1.083092,ELD,AQ,0,P55972,9,ELD2018,120120120,0
6,7,TRUE,1.050682,ELD,AQ,0,P55972,9,ELD2018,120120120,1
7,8,TRUE,1.149902,ELD,AQ,0,P55972,9,ELD2018,120120120,2
8,9,TRUE,1.283485,ELD,AQ,0,P55972,9,ELD2018,120120120,0
0,1,TRUE,0.851017,ELD,JM,0,P55972,12,ELD2018,112011201120,1
1,2,TRUE,0.916424,ELD,JM,0,P55972,12,ELD2018,112011201120,1
2,3,TRUE,0.166573,ELD,JM,0,P55972,12,ELD2018,112011201120,2
3,4,TRUE,1.632965,ELD,JM,0,P55972,12,ELD2018,112011201120,0
4,5,TRUE,0.48407,ELD,JM,0,P55972,12,ELD2018,112011201120,1
5,6,TRUE,0.849899,ELD,JM,0,P55972,12,ELD2018,112011201120,1
6,7,TRUE,1.13311,ELD,JM,0,P55972,12,ELD2018,112011201120,2
7,8,TRUE,0.949196,ELD,JM,0,P55972,12,ELD2018,112011201120,0
8,9,TRUE,1.283157,ELD,JM,0,P55972,12,ELD2018,112011201120,1
9,10,TRUE,1.033066,ELD,JM,0,P55972,12,ELD2018,112011201120,1
10,11,TRUE,1.766792,ELD,JM,0,P55972,12,ELD2018,112011201120,2
11,12,TRUE,0.883049,ELD,JM,0,P55972,12,ELD2018,112011201120,0
0,1,TRUE,113.0753,YOG,AQ,0,lucas,9,YOG2018,211012122,2
1,2,TRUE,1.933075,YOG,AQ,0,lucas,9,YOG2018,211012122,1
2,3,TRUE,2.033691,YOG,AQ,0,lucas,9,YOG2018,211012122,1
3,4,TRUE,1.649902,YOG,AQ,0,lucas,9,YOG2018,211012122,0
4,5,TRUE,2.60022,YOG,AQ,0,lucas,9,YOG2018,211012122,1
5,6,TRUE,4.516632,YOG,AQ,0,lucas,9,YOG2018,211012122,2
6,7,TRUE,2.066528,YOG,AQ,0,lucas,9,YOG2018,211012122,1
7,8,TRUE,1.399597,YOG,AQ,0,lucas,9,YOG2018,211012122,2
8,9,TRUE,1.216217,YOG,AQ,0,lucas,9,YOG2018,211012122,2
0,1,FALSE,56.24649,YOG,JG,1,lucas,9,YOG2018,10210210210,2
1,2,FALSE,25.23224,YOG,JG,1,lucas,9,YOG2018,10210210210,1
2,3,TRUE,7.949646,YOG,JG,1,lucas,9,YOG2018,10210210210,2
3,4,TRUE,2.099701,YOG,JG,1,lucas,9,YOG2018,10210210210,1
4,5,TRUE,1.316376,YOG,JG,1,lucas,9,YOG2018,10210210210,0
5,6,TRUE,1.133484,YOG,JG,1,lucas,9,YOG2018,10210210210,2
6,7,TRUE,2.13324,YOG,JG,1,lucas,9,YOG2018,10210210210,1
7,8,TRUE,1.716492,YOG,JG,1,lucas,9,YOG2018,10210210210,0
8,9,TRUE,0.783173,YOG,JG,1,lucas,9,YOG2018,10210210210,2
9,10,TRUE,1.93335,YOG,JG,1,lucas,9,YOG2018,10210210210,1
10,11,TRUE,0.833283,YOG,JG,1,lucas,9,YOG2018,10210210210,0
0,1,FALSE,188.1917,YOG,JG,2,lucas,9,YOG2018,201201201201,1
1,2,FALSE,1.099609,YOG,JG,2,lucas,9,YOG2018,201201201201,1
2,3,FALSE,2.649902,YOG,JG,2,lucas,9,YOG2018,201201201201,2
3,4,TRUE,2.182617,YOG,JG,2,lucas,9,YOG2018,201201201201,2
4,5,TRUE,0.483276,YOG,JG,2,lucas,9,YOG2018,201201201201,0
5,6,TRUE,0.316589,YOG,JG,2,lucas,9,YOG2018,201201201201,1
6,7,TRUE,0.96637,YOG,JG,2,lucas,9,YOG2018,201201201201,2
7,8,TRUE,2.166504,YOG,JG,2,lucas,9,YOG2018,201201201201,0
8,9,TRUE,1.767456,YOG,JG,2,lucas,9,YOG2018,201201201201,1
9,10,TRUE,0.749817,YOG,JG,2,lucas,9,YOG2018,201201201201,2
10,11,TRUE,5.901123,YOG,JG,2,lucas,9,YOG2018,201201201201,0
11,12,TRUE,1.382996,YOG,JG,2,lucas,9,YOG2018,201201201201,1
0,1,FALSE,41.64764,YOG,JG,3,lucas,70,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,2
1,2,TRUE,2.650146,YOG,JG,3,lucas,70,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
2,3,FALSE,1.199829,YOG,JG,3,lucas,70,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,2
3,4,FALSE,1.749878,YOG,JG,3,lucas,70,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
4,5,FALSE,4.182739,YOG,JG,3,lucas,70,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,0
5,6,FALSE,3.916504,YOG,JG,3,lucas,70,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
6,7,FALSE,11.94934,YOG,JG,3,lucas,70,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
7,8,TRUE,7.89978,YOG,JG,3,lucas,70,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
8,9,TRUE,2.516296,YOG,JG,3,lucas,70,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,2
9,10,TRUE,1.566528,YOG,JG,3,lucas,70,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,0
10,11,TRUE,3.099976,YOG,JG,3,lucas,70,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
11,12,TRUE,3.483032,YOG,JG,3,lucas,70,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,2
12,13,TRUE,4.732849,YOG,JG,3,lucas,70,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,0
13,14,TRUE,0.58313,YOG,JG,3,lucas,70,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
14,15,TRUE,0.283081,YOG,JG,3,lucas,70,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,2
15,16,TRUE,2.649536,YOG,JG,3,lucas,70,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,0
16,17,TRUE,0.483398,YOG,JG,3,lucas,70,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
17,18,TRUE,1.516357,YOG,JG,3,lucas,70,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,2
18,19,TRUE,1.599487,YOG,JG,3,lucas,70,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,0
19,20,TRUE,3.199585,YOG,JG,3,lucas,70,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
20,21,FALSE,1.216553,YOG,JG,3,lucas,70,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,2
21,22,FALSE,1.983521,YOG,JG,3,lucas,70,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
22,23,TRUE,7.382935,YOG,JG,3,lucas,70,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
23,24,TRUE,4.81665,YOG,JG,3,lucas,70,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,2
24,25,TRUE,0.800049,YOG,JG,3,lucas,70,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,0
25,26,TRUE,9.598633,YOG,JG,3,lucas,70,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
26,27,FALSE,2.983154,YOG,JG,3,lucas,70,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
27,28,TRUE,5.265991,YOG,JG,3,lucas,70,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,0
28,29,TRUE,0.366211,YOG,JG,3,lucas,70,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
29,30,TRUE,0.60022,YOG,JG,3,lucas,70,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,2
30,31,TRUE,4.716187,YOG,JG,3,lucas,70,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,0
31,32,TRUE,4.116333,YOG,JG,3,lucas,70,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
32,33,FALSE,2.949707,YOG,JG,3,lucas,70,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,2
33,34,FALSE,29.29883,YOG,JG,3,lucas,70,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,2
34,35,TRUE,16.81604,YOG,JG,3,lucas,70,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
35,36,TRUE,0.699951,YOG,JG,3,lucas,70,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,2
36,37,TRUE,0.383179,YOG,JG,3,lucas,70,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,0
37,38,TRUE,0.499634,YOG,JG,3,lucas,70,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
38,39,FALSE,0.516357,YOG,JG,3,lucas,70,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
39,40,TRUE,5.383179,YOG,JG,3,lucas,70,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,0
40,41,TRUE,1.033447,YOG,JG,3,lucas,70,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
41,42,TRUE,1.166626,YOG,JG,3,lucas,70,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,2
42,43,TRUE,7.349731,YOG,JG,3,lucas,70,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,0
43,44,TRUE,1.033203,YOG,JG,3,lucas,70,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
44,45,FALSE,5.616211,YOG,JG,3,lucas,70,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,2
45,46,FALSE,16.14954,YOG,JG,3,lucas,70,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
46,47,TRUE,12.78198,YOG,JG,3,lucas,70,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
47,48,FALSE,9.616455,YOG,JG,3,lucas,70,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,2
48,49,TRUE,4.849731,YOG,JG,3,lucas,70,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,0
49,50,TRUE,2.716187,YOG,JG,3,lucas,70,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
50,51,FALSE,0.533325,YOG,JG,3,lucas,70,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
51,52,TRUE,5.066406,YOG,JG,3,lucas,70,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,0
52,53,TRUE,1.683105,YOG,JG,3,lucas,70,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
53,54,TRUE,0.616333,YOG,JG,3,lucas,70,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,2
54,55,TRUE,7.783081,YOG,JG,3,lucas,70,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,0
55,56,TRUE,2.949707,YOG,JG,3,lucas,70,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
56,57,TRUE,1.06665,YOG,JG,3,lucas,70,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,2
57,58,TRUE,0.548706,YOG,JG,3,lucas,70,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,0
58,59,TRUE,0.716553,YOG,JG,3,lucas,70,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
59,60,FALSE,6.932983,YOG,JG,3,lucas,70,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
60,61,TRUE,4.316406,YOG,JG,3,lucas,70,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,0
61,62,TRUE,7.199829,YOG,JG,3,lucas,70,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
62,63,FALSE,1.16687,YOG,JG,3,lucas,70,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,2
63,64,FALSE,14.91589,YOG,JG,3,lucas,70,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
64,65,FALSE,2.016357,YOG,JG,3,lucas,70,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,2
65,66,FALSE,3.366699,YOG,JG,3,lucas,70,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
66,67,TRUE,0.199707,YOG,JG,3,lucas,70,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,0
67,68,FALSE,0.216675,YOG,JG,3,lucas,70,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,2
68,69,TRUE,2.416626,YOG,JG,3,lucas,70,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
69,70,FALSE,4.332886,YOG,JG,3,lucas,70,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,2
70,71,TRUE,1.166626,YOG,JG,3,lucas,70,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
71,72,FALSE,3.682739,YOG,JG,3,lucas,70,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,2
72,73,FALSE,2.966797,YOG,JG,3,lucas,70,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,2
73,74,FALSE,3.283081,YOG,JG,3,lucas,70,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,0
74,75,FALSE,0.81665,YOG,JG,3,lucas,70,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
75,76,TRUE,1.433228,YOG,JG,3,lucas,70,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,0
76,77,TRUE,6.233398,YOG,JG,3,lucas,70,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
77,78,FALSE,1.49939,YOG,JG,3,lucas,70,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
78,79,TRUE,1.583252,YOG,JG,3,lucas,70,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,0
79,80,TRUE,1.316406,YOG,JG,3,lucas,70,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
80,81,TRUE,2.766602,YOG,JG,3,lucas,70,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,2
81,82,TRUE,0.316406,YOG,JG,3,lucas,70,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,0
82,83,TRUE,0.366455,YOG,JG,3,lucas,70,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
83,84,FALSE,0.216553,YOG,JG,3,lucas,70,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,2
84,85,TRUE,5.098755,YOG,JG,3,lucas,70,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,0
85,86,TRUE,8.283081,YOG,JG,3,lucas,70,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
86,87,TRUE,0.416626,YOG,JG,3,lucas,70,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,2
87,88,TRUE,0.033081,YOG,JG,3,lucas,70,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,0
88,89,TRUE,1.600098,YOG,JG,3,lucas,70,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
89,90,FALSE,0.5,YOG,JG,3,lucas,70,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
90,91,FALSE,8.049561,YOG,JG,3,lucas,70,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
91,92,TRUE,0.600098,YOG,JG,3,lucas,70,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
92,93,TRUE,1.91626,YOG,JG,3,lucas,70,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,2
93,94,TRUE,0.949829,YOG,JG,3,lucas,70,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,0
