,move,correct,movementTime,soccerTeam,game,phase,playerAlias,totalCorrect,groupCode,sequExecuted,optionChosen
0,1,false,31.148190,ELD,JG,2,P33200,9,ELD2018,012012012012,1
1,2,false,2.233154,ELD,JG,2,P33200,9,ELD2018,012012012012,2
2,3,false,1.583191,ELD,JG,2,P33200,9,ELD2018,012012012012,1
3,4,TRUE,1.383240,ELD,JG,2,P33200,9,ELD2018,012012012012,0
4,5,TRUE,2.799805,ELD,JG,2,P33200,9,ELD2018,012012012012,1
5,6,TRUE,2.449829,ELD,JG,2,P33200,9,ELD2018,012012012012,2
6,7,TRUE,1.799927,ELD,JG,2,P33200,9,ELD2018,012012012012,0
7,8,TRUE,3.882813,ELD,JG,2,P33200,9,ELD2018,012012012012,1
8,9,TRUE,0.833191,ELD,JG,2,P33200,9,ELD2018,012012012012,2
9,10,TRUE,2.699402,ELD,JG,2,P33200,9,ELD2018,012012012012,0
10,11,TRUE,0.199158,ELD,JG,2,P33200,9,ELD2018,012012012012,1
11,12,TRUE,0.633301,ELD,JG,2,P33200,9,ELD2018,012012012012,2
